           x	           y	           z	          vx	          vy	          vz	           C	           T
   0.8244189	  -0.0170566	   0.0019173	  -0.0147313	   0.1203027	   0.0011968	   3.1743176	   2.7430215
   0.8240536	  -0.0137258	   0.0019470	  -0.0118936	   0.1224796	   0.0009622	   3.1743176	   2.7430215
   0.8237671	  -0.0103417	   0.0019701	  -0.0089819	   0.1241832	   0.0007244	   3.1743176	   2.7430215
   0.8235613	  -0.0069174	   0.0019867	  -0.0060140	   0.1254056	   0.0004843	   3.1743176	   2.7430215
   0.8234375	  -0.0034663	   0.0019967	  -0.0030084	   0.1261410	   0.0002425	   3.1743176	   2.7430215
   0.8233965	  -0.0000017	   0.0020000	   0.0000162	   0.1263861	  -0.0000001	   3.1743176	   2.7430215


   0.8233902	   0.0000000	   0.0030000	   0.0000000	   0.1264764	   0.0000000	   3.1742745	   2.7430559
   0.8234317	   0.0034670	   0.0029950	   0.0030249	   0.1262305	  -0.0003638	   3.1742745	   2.7430559
   0.8235559	   0.0069207	   0.0029801	   0.0060310	   0.1254941	  -0.0007265	   3.1742745	   2.7430559
   0.8237622	   0.0103474	   0.0029552	   0.0089994	   0.1242706	  -0.0010866	   3.1742744	   2.7430559
   0.8240491	   0.0137339	   0.0029205	   0.0119117	   0.1225656	  -0.0014432	   3.1742744	   2.7430559
   0.8244150	   0.0170671	   0.0028760	   0.0147500	   0.1203873	  -0.0017950	   3.1742744	   2.7430559
   0.8248575	   0.0203342	   0.0028221	   0.0174970	   0.1177455	  -0.0021408	   3.1742744	   2.7430559
   0.8253739	   0.0235227	   0.0027587	   0.0201362	   0.1146524	  -0.0024795	   3.1742745	   2.7430559
   0.8259611	   0.0266202	   0.0026861	   0.0226519	   0.1111218	  -0.0028100	   3.1742745	   2.7430559
   0.8266154	   0.0296151	   0.0026046	   0.0250295	   0.1071693	  -0.0031313	   3.1742745	   2.7430559
   0.8273328	   0.0324959	   0.0025144	   0.0272555	   0.1028119	  -0.0034424	   3.1742745	   2.7430559
   0.8281091	   0.0352519	   0.0024158	   0.0293177	   0.0980681	  -0.0037423	   3.1742745	   2.7430559
   0.8289396	   0.0378727	   0.0023092	   0.0312049	   0.0929576	  -0.0040300	   3.1742745	   2.7430559
   0.8298194	   0.0403485	   0.0021949	   0.0329074	   0.0875008	  -0.0043046	   3.1742745	   2.7430559
   0.8307432	   0.0426701	   0.0020732	   0.0344170	   0.0817195	  -0.0045654	   3.1742745	   2.7430559
   0.8317057	   0.0448290	   0.0019445	   0.0357268	   0.0756355	  -0.0048115	   3.1742745	   2.7430559
   0.8327013	   0.0468170	   0.0018094	   0.0368313	   0.0692718	  -0.0050421	   3.1742745	   2.7430559
   0.8337244	   0.0486269	   0.0016681	   0.0377266	   0.0626513	  -0.0052564	   3.1742745	   2.7430559
   0.8347691	   0.0502520	   0.0015211	   0.0384101	   0.0557975	  -0.0054538	   3.1742745	   2.7430559
   0.8358297	   0.0516861	   0.0013690	   0.0388811	   0.0487340	  -0.0056336	   3.1742745	   2.7430559
   0.8369003	   0.0529239	   0.0012122	   0.0391400	   0.0414845	  -0.0057950	   3.1742745	   2.7430559
   0.8379750	   0.0539605	   0.0010513	   0.0391889	   0.0340730	  -0.0059375	   3.1742745	   2.7430559
   0.8390483	   0.0547919	   0.0008867	   0.0390317	   0.0265232	  -0.0060604	   3.1742745	   2.7430559
   0.8401145	   0.0554146	   0.0007190	   0.0386733	   0.0188590	  -0.0061630	   3.1742745	   2.7430559
   0.8411682	   0.0558257	   0.0005488	   0.0381207	   0.0111043	  -0.0062447	   3.1742745	   2.7430559
   0.8422041	   0.0560232	   0.0003766	   0.0373820	   0.0032830	  -0.0063050	   3.1742745	   2.7430559
   0.8432174	   0.0560054	   0.0002031	   0.0364671	  -0.0045808	  -0.0063431	   3.1742745	   2.7430559
   0.8442033	   0.0557717	   0.0000288	   0.0353872	  -0.0124630	  -0.0063585	   3.1742745	   2.7430559
   0.8451574	   0.0553218	  -0.0001456	   0.0341551	  -0.0203389	  -0.0063506	   3.1742745	   2.7430559
   0.8460758	   0.0546562	  -0.0003194	   0.0327848	  -0.0281839	  -0.0063188	   3.1742745	   2.7430559
   0.8469549	   0.0537761	  -0.0004920	   0.0312917	  -0.0359726	  -0.0062625	   3.1742745	   2.7430559
   0.8477915	   0.0526834	  -0.0006627	   0.0296923	  -0.0436790	  -0.0061812	   3.1742745	   2.7430559
   0.8485830	   0.0513808	  -0.0008309	   0.0280041	  -0.0512765	  -0.0060744	   3.1742745	   2.7430559
   0.8493272	   0.0498716	  -0.0009957	   0.0262454	  -0.0587375	  -0.0059415	   3.1742745	   2.7430559
   0.8500224	   0.0481599	  -0.0011566	   0.0244352	  -0.0660335	  -0.0057823	   3.1742744	   2.7430559
